PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
True,0,0,0,True,0,False,40.65,3
True,1,23,0,False,362,True,21.95,3
True,9,13,8,True,25,True,21.95,6
True,1,1,0,False,9,True,44.34,3
True,1,6,3,False,7,False,54.15,3
True,11,16,10,False,0,False,51.69,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,4,4,0,False,20,True,21.95,3
True,24,49,0,False,295,True,21.95,4
True,0,0,0,True,0,False,21.95,3
True,0,6,2,True,0,False,21.95,3
True,1,19,14,True,18,False,21.95,3
True,0,0,0,False,0,False,32.36,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,0,0,0,False,0,False,21.95,4
True,0,2,0,False,7,True,21.95,3
True,14,37,51,False,54,True,21.95,3
True,0,0,0,True,0,False,46.4,4
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,10,12,10,False,0,False,21.95,3
True,0,6,3,False,0,False,21.95,3
True,20,9,1,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,5
True,4,17,13,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,True,0,False,21.95,4
True,0,0,0,True,0,False,21.95,3
True,6,51,177,False,0,False,36.34,4
True,69,29,32,False,109,False,21.95,4
True,0,53,129,False,488,True,21.95,3
True,0,0,0,False,0,False,21.95,4
True,0,0,0,True,0,False,21.95,5
True,0,10,8,True,3,False,21.95,4
True,42,58,207,True,2,False,21.95,3
True,0,5,4,False,0,False,21.95,4
True,0,0,0,True,0,False,21.95,3
True,0,0,0,True,0,False,21.95,4
True,0,0,0,True,0,False,21.95,5
True,0,0,0,True,0,False,21.95,3
True,20,12,0,False,16,True,31.92,3
True,17,40,0,False,194,True,21.95,4
True,0,0,0,False,0,False,21.95,3
True,30,33,16,True,61,True,21.95,4
True,10,11,5,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,4
True,44,33,10,False,151,True,45.5,3
True,0,16,5,False,84,True,39.82,5
True,0,0,0,False,0,False,21.95,3
True,50,59,117,False,708,True,21.95,3
True,19,13,1,False,44,False,21.95,4
True,18,22,0,False,84,True,37.4,3
True,102,35,0,False,212,True,21.95,3
True,36,35,203,False,92,True,21.95,3
True,0,0,0,True,0,False,21.95,3
True,0,0,0,False,0,False,21.95,3
True,20,48,324,False,126,True,62.72,5
True,0,0,0,True,0,False,21.95,4
True,0,8,0,False,0,False,21.95,3
True,0,0,0,True,0,False,21.95,3
True,4,39,47,False,88,False,21.95,4
