ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP
3321,0,0,0,0,NAO
1459,1,23,0,362,SIM
1630,5,16,11,4,NAO
905,9,13,8,25,SIM
1219,1,1,0,9,SIM
2645,1,6,3,7,NAO
842,11,16,10,0,NAO
3474,0,0,0,0,NAO
187,0,0,0,0,NAO
3218,0,0,0,0,NAO
3167,0,0,0,0,NAO
2607,0,0,0,0,NAO
935,0,0,0,0,NAO
3081,4,4,0,20,SIM
3561,24,49,0,295,SIM
1918,0,0,0,0,NAO
96,0,0,0,0,NAO
174,0,6,2,0,NAO
630,1,19,14,18,NAO
1729,0,0,0,0,NAO
2282,0,0,0,0,NAO
961,0,0,0,0,NAO
2135,0,0,0,0,NAO
2619,0,2,0,7,SIM
2713,14,37,51,54,SIM
2621,0,0,0,0,NAO
2617,0,0,0,0,NAO
1452,7,1,0,0,NAO
2469,0,0,0,0,NAO
3593,0,0,0,0,NAO
84,10,12,10,0,NAO
1881,0,6,3,0,NAO
2490,48,55,896,873,SIM
1587,20,9,1,0,NAO
101,0,0,0,0,NAO
3781,0,0,0,0,NAO
2231,4,17,13,0,NAO
770,0,0,0,0,NAO
1451,0,0,0,0,NAO
1283,0,0,0,0,NAO
1109,0,0,0,0,NAO
134,0,0,0,0,NAO
276,0,33,53,0,NAO
1076,0,0,0,0,NAO
37,0,0,0,0,NAO
9,6,51,177,0,NAO
3153,0,0,0,0,NAO
2276,69,29,32,109,NAO
1509,0,53,129,488,SIM
2125,0,0,0,0,NAO
185,0,0,0,0,NAO
2208,0,10,8,3,NAO
2140,42,58,207,2,NAO
2524,0,5,4,0,NAO
1278,0,0,0,0,NAO
2986,0,0,0,0,NAO
554,0,0,0,0,NAO
1966,0,0,0,0,NAO
1605,20,12,0,16,SIM
3157,17,40,0,194,SIM
825,0,0,0,0,NAO
160,30,33,16,61,SIM
1908,10,11,5,0,NAO
896,0,0,0,0,NAO
608,44,33,10,151,SIM
847,4,1,0,3,SIM
3432,0,0,0,0,NAO
1981,0,0,0,0,NAO
3435,0,16,5,84,SIM
3350,0,0,0,0,NAO
2295,50,59,117,708,SIM
3627,0,0,0,0,NAO
1869,19,13,1,44,NAO
260,18,22,0,84,SIM
3144,102,35,0,212,SIM
949,36,35,203,92,SIM
259,0,0,0,0,NAO
3444,0,0,0,0,NAO
1320,24,33,85,0,NAO
179,67,41,1,344,SIM
858,20,48,324,126,SIM
754,0,0,0,0,NAO
1212,5,4,0,16,SIM
1268,0,0,0,0,NAO
1393,0,8,0,0,NAO
3460,6,8,4,1,NAO
1245,0,0,0,0,NAO
3719,0,0,0,0,NAO
2083,4,39,47,88,NAO
3729,0,0,0,0,NAO
3400,0,0,0,0,NAO
2693,0,0,0,0,NAO
12,0,0,0,0,NAO
856,0,2,2,0,NAO
1651,0,0,0,0,NAO
479,0,0,0,0,NAO
2943,0,0,0,0,NAO
2473,9,18,10,0,NAO
457,0,0,0,0,NAO
80,15,18,0,54,SIM
2778,0,0,0,0,NAO
3368,0,8,0,131,SIM
2976,0,0,0,0,NAO
1222,6,11,15,0,NAO
3136,0,0,0,0,NAO
521,0,5,0,16,SIM
2431,48,30,21,1,NAO
2804,2,1,2,0,NAO
817,18,21,0,85,SIM
1308,4,9,1,44,SIM
1504,0,0,0,0,NAO
3001,0,0,0,0,NAO
2198,0,0,0,0,NAO
1092,0,0,0,0,NAO
2249,26,6,4,1,NAO
2027,0,0,0,0,NAO
1307,0,0,0,0,NAO
2281,0,0,0,0,NAO
3256,2,7,8,0,NAO
3191,15,42,155,5,NAO
3054,1,0,0,0,NAO
2556,1,1,1,1,NAO
129,6,3,6,2,NAO
2370,4,2,2,0,NAO
3773,0,0,0,0,NAO
60,0,0,0,0,NAO
212,0,0,0,0,NAO
1396,17,25,0,111,SIM
698,2,7,1,51,SIM
513,6,9,8,0,NAO
2855,2,1,0,4,SIM
474,0,2,0,6,SIM
2087,4,3,0,9,SIM
3392,0,0,0,0,NAO
1523,21,41,43,0,NAO
387,0,0,0,0,NAO
2095,0,0,0,0,NAO
2355,0,0,0,0,NAO
1959,83,43,14,164,NAO
1696,0,0,0,0,NAO
1300,0,0,0,0,NAO
680,0,19,7,0,NAO
595,44,24,0,108,SIM
1015,0,0,0,0,NAO
1273,0,0,0,0,NAO
431,0,0,0,0,NAO
44,0,0,0,0,NAO
3542,0,0,0,0,NAO
3762,2,5,5,2,NAO
2443,16,14,15,4,NAO
2268,18,5,11,9,NAO
1938,0,0,0,0,NAO
1400,0,0,0,0,NAO
390,5,11,0,77,SIM
3581,52,31,20,0,NAO
1426,9,46,0,275,SIM
334,0,0,0,0,NAO
1999,232,57,382,970,SIM
2197,78,34,13,0,NAO
740,12,0,0,0,NAO
1077,4,0,0,0,NAO
3008,0,0,0,0,NAO
3051,0,0,0,0,NAO
1844,20,58,286,0,NAO
3516,2,11,7,0,NAO
2771,0,0,0,0,NAO
3134,0,0,0,0,NAO
2789,0,3,2,0,NAO
3128,0,0,0,0,NAO
3183,0,0,0,0,NAO
763,74,29,13,9,NAO
3262,0,0,0,0,NAO
3034,0,0,0,0,NAO
3493,0,8,1,10,NAO
642,0,0,0,0,NAO
313,0,0,0,0,NAO
1746,7,47,169,210,NAO
3154,83,54,37,116,SIM
3707,0,0,0,0,NAO
772,0,4,3,0,NAO
982,0,0,0,0,NAO
2266,0,0,0,0,NAO
583,0,0,0,0,NAO
831,4,12,9,13,NAO
2212,23,25,11,42,NAO
2294,1,4,4,0,NAO
357,54,37,37,10,NAO
2780,0,0,0,0,NAO
2997,0,1,2,0,NAO
3074,0,14,6,1,NAO
3148,3,4,3,0,NAO
1034,0,0,0,0,NAO
3442,0,0,0,0,NAO
1255,0,32,11,0,NAO
2547,0,0,0,0,NAO
3306,0,0,0,0,NAO
828,0,0,0,0,NAO
1143,0,6,9,2,NAO
2776,0,0,0,0,NAO
3665,0,1,1,0,NAO
820,0,32,71,35,SIM
3440,0,0,0,0,NAO
3552,3,4,4,0,NAO
1140,0,0,0,0,NAO
3533,0,0,0,0,NAO
2407,0,0,0,0,NAO
2577,0,0,0,0,NAO
433,0,2,3,0,NAO
3423,0,0,0,0,NAO
550,1,54,6,499,SIM
528,0,0,0,0,NAO
2110,18,7,6,0,NAO
3424,1,4,1,6,SIM
803,3,12,14,5,NAO
2497,0,0,0,0,NAO
3163,18,4,3,12,SIM
1375,0,0,0,0,NAO
1805,0,6,5,0,NAO
2923,0,0,0,0,NAO
2965,0,0,0,0,NAO
2346,51,25,19,110,SIM
145,296,52,0,543,SIM
2677,0,0,0,0,NAO
2400,0,0,0,0,NAO
1233,0,0,0,0,NAO
1967,0,0,0,0,NAO
893,0,0,0,0,NAO
1825,0,5,5,5,NAO
1914,0,0,0,0,NAO
3,0,24,52,37,NAO
3398,0,0,0,0,NAO
95,4,0,0,0,NAO
2165,9,58,191,3,NAO
135,25,35,0,153,SIM
2403,28,13,21,1,NAO
3681,0,10,1,0,NAO
2324,0,0,0,0,NAO
3044,0,0,0,0,NAO
2175,0,0,0,0,NAO
1930,6,6,9,0,NAO
2987,0,0,0,0,NAO
1527,0,0,0,0,NAO
2546,0,0,0,0,NAO
2424,0,0,0,0,NAO
1416,0,4,4,0,NAO
3162,0,0,0,0,NAO
1944,1,1,0,12,SIM
1803,17,46,12,130,SIM
2259,7,18,16,11,NAO
1311,22,4,2,0,NAO
2207,0,2,1,1,NAO
1261,3,59,560,335,SIM
271,12,27,19,18,SIM
1566,0,0,0,0,NAO
1111,6,0,0,0,NAO
3253,0,0,0,0,NAO
619,0,0,0,0,NAO
1579,2,23,6,42,NAO
2947,35,5,1,10,NAO
636,0,0,0,0,NAO
159,0,0,0,0,NAO
912,40,55,21,100,NAO
1195,0,0,0,0,NAO
3451,23,3,0,34,SIM
3146,0,0,0,0,NAO
2688,15,18,15,0,NAO
933,0,0,0,0,NAO
2990,0,0,0,0,NAO
1506,0,0,0,0,NAO
34,0,0,0,0,NAO
634,11,51,101,356,SIM
2722,0,0,0,0,NAO
3071,38,41,71,20,NAO
2499,0,0,0,0,NAO
2536,0,0,0,0,NAO
250,47,40,50,29,NAO
417,22,26,25,103,SIM
1327,0,0,0,0,NAO
980,28,56,170,335,NAO
3182,14,4,3,25,SIM
2478,0,0,0,0,NAO
1376,0,0,0,0,NAO
346,15,5,0,84,SIM
1759,0,0,0,0,NAO
691,0,0,0,0,NAO
2963,120,59,0,725,SIM
485,126,58,387,61,SIM
2221,0,1,1,0,NAO
3390,0,0,0,0,NAO
524,0,0,0,0,NAO
2745,0,4,3,0,NAO
