ID,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM
3321,ASSINANTE,F,23/04/1981 00:00:00,DE 4SM ATE 8SM
1459,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
1630,ASSINANTE,M,01/01/2000 00:00:00,
905,ASSINANTE,F,01/01/2000 00:00:00,ACIMA DE 25SM
1219,ASSINANTE,M,16/08/1977 00:00:00,DE 4SM ATE 8SM
2645,ASSINANTE,M,28/10/1967 00:00:00,DE 3SM ATE 4SM
842,ASSINANTE,M,04/12/1970 00:00:00,DE 4SM ATE 8SM
3474,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
187,ASSINANTE,F,01/01/2000 00:00:00,
3218,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
3167,ASSINANTE,M,01/01/2000 00:00:00,
2607,ASSINANTE,F,01/01/2000 00:00:00,
935,ASSINANTE,M,01/01/2000 00:00:00,
3081,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
3561,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
1918,ASSINANTE,M,01/01/2000 00:00:00,
96,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
174,ASSINANTE,F,01/01/2000 00:00:00,DE 3SM ATE 4SM
630,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
1729,ASSINANTE,M,08/07/1989 00:00:00,DE 3SM ATE 4SM
2282,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
961,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2135,ASSINANTE,M,01/01/2000 00:00:00,DE 8SM ATE 14SM
2619,ASSINANTE,M,01/01/2000 00:00:00,DE 4SM ATE 8SM
2713,ASSINANTE,M,01/01/2000 00:00:00,DE 3SM ATE 4SM
2621,ASSINANTE,F,25/07/1975 00:00:00,DE 8SM ATE 14SM
2617,ASSINANTE,F,01/01/2000 00:00:00,DE 4SM ATE 8SM
