ID,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,VISITAS_CAPA,USOU_APP,PERFIL,PES_GENERO,PES_NASCIMENTO_DATA,ATR_PF_GEO_RENDA_FAM,IDADE
3321,0,0,0,0,NAO,ASSINANTE,F,1981-04-23,DE 4SM ATE 8SM,40.65
1459,1,23,0,362,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
905,9,13,8,25,SIM,ASSINANTE,F,2000-01-01,ACIMA DE 25SM,21.95
1219,1,1,0,9,SIM,ASSINANTE,M,1977-08-16,DE 4SM ATE 8SM,44.34
2645,1,6,3,7,NAO,ASSINANTE,M,1967-10-28,DE 3SM ATE 4SM,54.15
842,11,16,10,0,NAO,ASSINANTE,M,1970-04-12,DE 4SM ATE 8SM,51.69
3474,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
3218,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
3081,4,4,0,20,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
3561,24,49,0,295,SIM,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
96,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
174,0,6,2,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
630,1,19,14,18,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
1729,0,0,0,0,NAO,ASSINANTE,M,1989-08-07,DE 3SM ATE 4SM,32.36
2282,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
961,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2135,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
2619,0,2,0,7,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2713,14,37,51,54,SIM,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
2621,0,0,0,0,NAO,ASSINANTE,F,1975-07-25,DE 8SM ATE 14SM,46.40
2617,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2469,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
84,10,12,10,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
1881,0,6,3,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1587,20,9,1,0,NAO,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
101,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
3781,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 14SM ATE 25SM,21.95
2231,4,17,13,0,NAO,ASSINANTE,M,2000-01-01,DE 3SM ATE 4SM,21.95
1283,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
1076,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
37,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
9,6,51,177,0,NAO,ASSINANTE,M,1985-08-16,DE 8SM ATE 14SM,36.34
2276,69,29,32,109,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1509,0,53,129,488,SIM,ASSINANTE,M,2000-01-01,DE 4SM ATE 8SM,21.95
2125,0,0,0,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
185,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 14SM ATE 25SM,21.95
2208,0,10,8,3,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
2140,42,58,207,2,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2524,0,5,4,0,NAO,ASSINANTE,M,2000-01-01,DE 8SM ATE 14SM,21.95
1278,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 4SM ATE 8SM,21.95
2986,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 8SM ATE 14SM,21.95
554,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 14SM ATE 25SM,21.95
1966,0,0,0,0,NAO,ASSINANTE,F,2000-01-01,DE 3SM ATE 4SM,21.95
